holiday,temp,rain,snow,weather,year,month,day,hour,minute,second,actual,predicted
7.0,301.35,0.0,0.0,1.0,2017,7,10,16,0,0,6107,3999.942523582402
7.0,255.78,0.0,0.0,0.0,2014,2,24,4,0,0,889,2280.244522684854
7.0,278.7,0.0,0.0,1.0,2013,4,23,13,0,0,4615,3458.671614188839
7.0,291.44,0.0,0.0,4.0,2016,5,27,6,0,0,5332,2861.8013849993076
7.0,272.74,0.0,0.0,1.0,2013,1,19,10,0,0,3550,3131.3915296575324
7.0,296.04,2.1,0.0,4.0,2015,9,17,5,0,0,2903,2789.667572927061
7.0,278.024,0.0,0.0,1.0,2016,10,26,21,0,0,1970,4093.795690083476
7.0,268.62,0.0,0.0,0.0,2018,4,17,7,0,0,6208,2688.0481115074326
7.0,295.95,0.51,0.0,10.0,2016,8,23,20,0,0,2665,4159.676364015446
7.0,298.14,0.0,0.0,1.0,2017,9,15,12,0,0,5362,3525.656688598563
7.0,280.86,0.0,0.0,0.0,2018,3,17,16,0,0,4708,3760.6214033087745
7.0,269.69,0.0,0.0,1.0,2018,3,31,15,0,0,4400,3470.552629659098
7.0,288.77,0.25,0.0,4.0,2013,6,11,1,0,0,378,2371.279288286627
7.0,288.91,0.0,0.0,4.0,2013,5,9,21,0,0,3135,4341.766287130009
7.0,298.3,0.0,0.0,3.0,2018,7,9,22,0,0,2071,4499.9035187867885
7.0,295.24,0.0,0.0,0.0,2016,9,3,19,0,0,2744,4205.031590384722
7.0,292.29,0.0,0.0,1.0,2016,4,17,0,0,0,1388,2360.1451931874326
7.0,294.82,0.0,0.0,1.0,2017,7,12,8,0,0,6098,3122.3275202303084
7.0,291.14,0.0,0.0,1.0,2012,10,2,13,0,0,4918,3577.556098335881
7.0,281.69,0.0,0.0,5.0,2016,11,28,17,0,0,5339,3679.666502691751
7.0,270.35,0.0,0.0,1.0,2014,4,2,0,0,0,564,2078.783134392972
7.0,285.69,0.0,0.0,5.0,2013,5,29,10,0,0,4501,3186.4958423244425
7.0,297.99,0.25,0.0,4.0,2013,7,26,15,0,0,5975,3839.660181292653
7.0,290.02,0.0,0.0,1.0,2014,4,20,21,0,0,2975,4395.449064360186
7.0,274.22,0.0,0.0,0.0,2018,2,17,14,0,0,4881,3484.639910809761
7.0,289.14,0.0,0.0,0.0,2014,5,29,2,0,0,287,2519.272928740491
7.0,295.86,0.0,0.0,0.0,2018,7,21,11,0,0,4418,3423.7850565314548
7.0,288.67,0.0,0.0,4.0,2013,5,9,23,0,0,1186,4533.292716517328
7.0,290.84,0.0,0.0,0.0,2015,7,20,23,0,0,1108,4557.251201578092
7.0,302.22,0.0,0.0,0.0,2017,9,22,21,0,0,3144,4470.562170695692
7.0,280.04,0.0,0.0,1.0,2014,4,18,23,0,0,1924,4446.722559124275
7.0,276.13,0.0,0.0,4.0,2013,10,20,16,0,0,4623,3575.705407884707
7.0,281.15,0.0,0.0,0.0,2018,4,12,18,0,0,5064,3948.983906183508
7.0,271.22,0.0,0.0,3.0,2018,1,26,2,0,0,421,2232.7633739392368
7.0,280.81,0.0,0.0,1.0,2016,11,17,6,0,0,5870,2664.9795675013665
7.0,275.46,0.0,0.0,1.0,2017,2,14,16,0,0,6530,3697.8810541668063
7.0,301.08,0.0,0.0,0.0,2017,7,29,17,0,0,4517,4088.754292145808
7.0,278.38,0.0,0.0,1.0,2012,10,9,8,0,0,5765,2896.2928898262217
7.0,276.08,0.0,0.0,1.0,2015,12,11,20,0,0,3276,3963.0850513088844
7.0,291.51,0.0,0.0,1.0,2018,6,5,10,0,0,4592,3280.441247089395
7.0,275.95,0.0,0.0,0.0,2018,3,17,21,0,0,3351,4176.4603920390255
7.0,281.36,0.0,0.0,0.0,2013,4,5,18,0,0,4995,4018.5930897217986
7.0,291.58,0.0,0.0,1.0,2017,10,16,17,0,0,6057,3900.2783828125393
7.0,295.56,0.0,0.0,1.0,2013,5,9,12,0,0,5180,3605.901897728334
7.0,263.35,0.0,0.0,0.0,2018,4,6,23,0,0,2205,4182.6756441234575
7.0,293.2,0.28,0.0,2.0,2016,9,7,10,0,0,4056,3263.7325896920156
7.0,279.82,0.0,0.0,0.0,2016,11,13,1,0,0,605,2181.9358425395476
7.0,267.62,0.0,0.0,0.0,2018,3,9,22,0,0,2649,4160.526335918326
7.0,276.48,0.0,0.0,0.0,2013,10,25,10,0,0,4903,3050.0421582488816
7.0,291.57,0.0,0.0,0.0,2013,8,13,9,0,0,5228,3217.5664013823516
7.0,270.62,0.0,0.0,0.0,2017,2,6,12,0,0,4629,3260.2313532192493
7.0,286.84,0.0,0.0,0.0,2013,6,15,5,0,0,766,2788.4682464046964
7.0,264.93,0.0,0.0,1.0,2013,12,21,9,0,0,3307,2740.87050291201
7.0,269.27,0.0,0.0,5.0,2017,1,30,10,0,0,3901,2962.387570705836
7.0,286.74,0.0,0.0,4.0,2013,9,15,3,0,0,289,2484.2616402247804
7.0,289.3,1.1,0.0,4.0,2018,8,28,7,0,0,6147,2855.2113202574
7.0,251.9,0.0,0.0,0.0,2014,1,23,16,0,0,5953,3410.8579163606155
7.0,272.29,0.0,0.0,8.0,2018,3,20,15,0,0,5690,3415.8040279492234
7.0,293.56,0.0,0.0,1.0,2014,5,24,9,0,0,3476,3256.7678761381503
7.0,286.22,0.0,0.0,5.0,2016,4,21,9,0,0,4648,3085.479262949146
7.0,259.35,0.0,0.0,0.0,2017,3,10,9,0,0,5267,2782.79836094008
7.0,284.87,0.0,0.0,0.0,2013,5,8,8,0,0,5351,3075.540074821216
7.0,285.96,0.0,0.0,1.0,2012,11,18,13,0,0,4075,3469.2601408166192
7.0,300.01,0.0,0.0,1.0,2017,7,26,15,0,0,5790,3866.3139258965602
7.0,273.69,0.0,0.0,1.0,2013,4,14,21,0,0,1950,4174.8986226572415
7.0,295.72,0.0,0.0,1.0,2013,8,5,16,0,0,6217,3954.2159132357556
7.0,292.02,0.0,0.0,1.0,2017,7,21,4,0,0,813,2682.0484909240586
7.0,299.71,0.0,0.0,1.0,2017,7,8,15,0,0,4238,3880.5289580728277
7.0,271.94,0.0,0.0,3.0,2013,2,10,13,0,0,2059,3375.7324205311597
7.0,268.86,0.0,0.0,0.0,2017,11,23,9,0,0,2227,2779.7289030917163
7.0,271.14,0.0,0.0,1.0,2016,3,28,5,0,0,2584,2543.3963746479967
7.0,277.11,0.0,0.0,1.0,2012,11,4,13,0,0,4043,3354.410813653005
7.0,286.86,0.0,0.0,0.0,2013,9,26,6,0,0,5476,2826.6878682286842
7.0,254.28,0.0,0.0,1.0,2017,12,25,16,0,0,3045,3216.2913839146495
7.0,293.68,0.0,0.0,5.0,2018,8,20,6,0,0,5352,2814.9459318439367
7.0,284.82,0.0,0.0,5.0,2017,8,12,7,0,0,1939,2803.129175898226
7.0,283.92,0.0,0.0,0.0,2015,10,20,5,0,0,2869,2652.614266934488
7.0,283.01,0.0,0.0,0.0,2013,5,24,1,0,0,414,2349.213491740222
7.0,289.48,0.0,0.0,5.0,2018,6,6,8,0,0,5301,2995.223958972845
7.0,295.29,0.0,0.0,0.0,2018,8,13,3,0,0,348,2627.5147607580657
7.0,290.08,0.0,0.0,4.0,2017,10,1,17,0,0,4110,3849.242903382299
7.0,297.09,0.0,0.0,0.0,2017,7,2,14,0,0,3842,3765.80097116025
7.0,274.41,0.0,0.0,1.0,2013,3,15,12,0,0,5147,3322.8106514165047
7.0,290.77,0.0,0.0,1.0,2013,10,10,22,0,0,3442,4429.671824780471
7.0,271.22,0.0,0.0,8.0,2016,3,19,1,0,0,669,2059.692846568032
7.0,293.72,0.0,0.0,4.0,2018,6,9,11,0,0,4085,3361.5005349942003
7.0,275.15,0.0,0.0,0.0,2016,2,27,0,0,0,1420,2146.386630891022
7.0,270.4,0.0,0.0,0.0,2014,2,19,0,0,0,527,2108.969534212236
7.0,265.94,0.0,0.0,0.0,2012,11,14,2,0,0,252,2123.0530386960672
7.0,301.85,0.0,0.0,1.0,2016,8,1,16,0,0,5940,4012.334843094861
7.0,300.53,1.27,0.0,4.0,2018,8,27,15,0,0,5661,3800.4908033900283
7.0,283.2,0.0,0.0,0.0,2015,9,13,2,0,0,615,2372.8510890710095
7.0,275.95,0.0,0.0,1.0,2018,4,28,2,0,0,531,2281.3318277288126
7.0,279.23,0.0,0.0,2.0,2016,3,26,19,0,0,3348,4014.0335155010252
7.0,305.26,0.0,0.0,1.0,2013,7,17,17,0,0,6659,4194.8050483056395
7.0,262.56,0.0,0.0,0.0,2013,3,23,2,0,0,580,2181.0999634662294
7.0,294.86,0.0,0.0,4.0,2017,9,24,23,0,0,2973,4496.497001321142
7.0,265.429,0.0,0.0,0.0,2017,2,15,3,0,0,335,2297.4321992958867
7.0,290.55,0.0,0.0,5.0,2017,8,27,5,0,0,562,2676.3229940269703
7.0,295.03,0.0,0.0,4.0,2016,8,12,1,0,0,556,2393.9501256436924
7.0,296.51,0.0,0.0,0.0,2018,8,14,2,0,0,284,2546.7913290459983
7.0,294.08,0.0,0.0,1.0,2017,9,4,4,0,0,303,2697.565274712415
7.0,296.79,0.0,0.0,1.0,2018,5,31,11,0,0,5008,3444.3183216394536
7.0,281.02,0.0,0.0,1.0,2018,9,29,18,0,0,4569,3834.2744435295244
7.0,274.55,0.0,0.0,1.0,2016,2,20,7,0,0,2085,2812.5965879725372
7.0,292.16,0.0,0.0,5.0,2018,6,28,3,0,0,365,2524.068931423197
7.0,296.45,0.0,0.0,1.0,2013,7,10,23,0,0,1388,4658.407233079535
7.0,286.57,0.0,0.0,10.0,2017,10,6,11,0,0,5043,3118.4561566223347
7.0,291.24,7.37,0.0,10.0,2013,6,30,4,0,0,354,2591.9781446177185
7.0,263.86,0.0,0.0,1.0,2018,1,7,5,0,0,442,2467.146241825143
7.0,293.85,0.57,0.0,4.0,2013,9,9,9,0,0,4944,3179.5251202397667
7.0,302.66,0.0,0.0,1.0,2016,6,19,21,0,0,2677,4525.304006435992
7.0,286.532,0.0,0.0,0.0,2016,7,16,7,0,0,1879,2926.3085859299063
7.0,255.7,0.0,0.0,8.0,2014,1,21,19,0,0,2923,3642.021980214111
7.0,292.58,0.0,0.0,2.0,2013,6,9,20,0,0,2579,4311.545015577194
7.0,281.29,0.0,0.0,1.0,2012,10,22,0,0,0,498,2145.2479713358807
7.0,293.49,0.0,0.0,1.0,2016,5,23,2,0,0,349,2550.438678182516
7.0,254.23,0.0,0.0,0.0,2018,2,4,21,0,0,2438,3888.5977497586064
7.0,284.09,0.0,0.0,1.0,2012,10,21,17,0,0,4695,3844.9772426346026
7.0,295.61,0.0,0.0,1.0,2018,7,5,8,0,0,4440,3129.2420859393387
7.0,288.65,0.0,0.0,5.0,2017,7,19,4,0,0,1035,2575.3843589863973
7.0,286.372,0.0,0.0,0.0,2017,2,17,13,0,0,5351,3576.548088745658
7.0,297.0,0.0,0.0,1.0,2018,7,11,9,0,0,5025,3240.869668750718
7.0,292.84,0.0,0.0,10.0,2014,7,25,4,0,0,866,2591.632365233101
7.0,250.63,0.0,0.0,1.0,2013,1,22,1,0,0,275,1927.573970788515
7.0,274.91,0.0,0.0,1.0,2014,3,18,15,0,0,5614,3607.7051420231946
7.0,254.27,0.0,0.0,1.0,2014,3,3,10,0,0,4136,2834.032142471795
7.0,277.22,0.0,0.0,1.0,2018,3,4,15,0,0,4226,3608.4777617308064
7.0,283.09,0.0,0.0,5.0,2017,5,18,4,0,0,836,2527.324679030524
7.0,295.59,0.0,0.0,0.0,2018,7,8,0,0,0,1423,2360.589162780998
7.0,291.75,0.0,0.0,5.0,2017,5,17,12,0,0,4990,3435.029673549856
7.0,293.01,0.0,0.0,4.0,2017,8,18,13,0,0,5104,3516.5727160788374
7.0,286.85,0.0,0.0,0.0,2018,9,6,22,0,0,2096,4348.165129254405
7.0,292.93,0.0,0.0,1.0,2015,9,10,16,0,0,6606,3868.484923086813
7.0,275.02,0.0,0.0,1.0,2017,2,27,23,0,0,1173,4360.6359845397965
7.0,289.81,0.25,0.0,1.0,2013,8,1,6,0,0,5886,2896.8589070598973
7.0,294.9,0.0,0.0,10.0,2018,5,5,19,0,0,3146,4089.850071861456
7.0,289.12,0.0,0.0,1.0,2013,8,1,2,0,0,344,2496.6777874813524
7.0,299.02,0.0,0.0,1.0,2016,6,26,11,0,0,3893,3489.717708673372
7.0,278.02,0.0,0.0,4.0,2013,4,9,0,0,0,539,2150.8683179249856
7.0,274.97,0.0,0.0,1.0,2013,4,16,11,0,0,4764,3216.3689141561044
7.0,276.73,0.0,0.0,1.0,2014,3,21,15,0,0,5646,3631.19894910897
7.0,251.15,0.0,0.0,1.0,2014,1,1,6,0,0,606,2432.5920897384385
7.0,264.62,0.0,0.0,1.0,2016,4,9,6,0,0,1539,2549.2010926717303
7.0,282.65,0.0,0.0,0.0,2017,9,28,0,0,0,605,2130.559308711221
7.0,297.63,0.0,0.0,1.0,2013,7,17,1,0,0,434,2523.050420806154
7.0,296.29,0.0,0.0,4.0,2018,6,25,11,0,0,4530,3382.52091800997
7.0,280.19,0.0,0.0,1.0,2013,10,14,9,0,0,4899,3003.2291235623743
7.0,273.39,0.0,0.0,8.0,2016,3,18,2,0,0,290,2189.9504586192925
7.0,273.94,0.0,0.0,2.0,2015,11,30,22,0,0,1123,4108.419426118486
7.0,271.93,0.0,0.0,1.0,2018,3,5,18,0,0,1389,3822.6977175705542
7.0,274.93,0.25,0.0,4.0,2014,3,17,17,0,0,5788,3759.4797774104118
7.0,262.73,0.0,0.0,1.0,2012,12,27,12,0,0,4791,3006.9363909327367
7.0,278.68,0.0,0.0,0.0,2017,10,10,22,0,0,2101,4220.440373134847
7.0,267.95,0.0,0.0,0.0,2017,3,22,9,0,0,5327,2896.061234724999
7.0,295.23,0.0,0.0,3.0,2018,9,23,19,0,0,3516,4115.880686195294
7.0,271.69,0.0,0.0,1.0,2013,11,26,0,0,0,535,1972.9051018738319
7.0,265.94,0.0,0.0,8.0,2018,2,25,3,0,0,254,2163.7273282079623
7.0,276.11,0.0,0.0,3.0,2013,3,9,17,0,0,4361,3811.6891659894973
7.0,282.09,0.0,0.0,1.0,2016,6,7,6,0,0,5694,2774.387701841879
7.0,273.37,0.0,0.0,8.0,2013,4,19,16,0,0,6160,3573.3681481155945
7.0,271.57,0.0,0.0,0.0,2014,1,29,20,0,0,2700,4082.1400758555064
7.0,301.29,0.0,0.0,0.0,2017,8,20,16,0,0,4401,3987.5309553386323
7.0,271.51,0.0,0.0,0.0,2017,11,7,19,0,0,3073,3810.148760752225
7.0,296.64,0.0,0.0,4.0,2014,8,3,21,0,0,2899,4400.830406565736
7.0,276.89,0.0,0.0,4.0,2017,5,1,22,0,0,2049,4224.468166660172
7.0,273.29,0.0,0.0,0.0,2017,11,3,2,0,0,354,2182.5080488284657
7.0,263.61,0.0,0.0,1.0,2018,1,14,17,0,0,2357,3626.4601385457863
7.0,285.05,0.0,0.0,1.0,2014,3,30,19,0,0,3018,4133.536816849748
7.0,282.55,0.0,0.0,0.0,2017,10,17,2,0,0,309,2319.4227183885596
7.0,293.01,0.0,0.0,5.0,2018,6,27,0,0,0,678,2244.97235000645
7.0,286.66,0.0,0.0,5.0,2013,5,19,2,0,0,639,2430.8687921670935
7.0,291.77,0.0,0.0,4.0,2017,8,16,9,0,0,4977,3110.4539805925924
7.0,264.51,0.0,0.0,8.0,2013,12,19,21,0,0,2563,3802.8944564270205
7.0,252.01,0.0,0.0,0.0,2014,2,7,7,0,0,6208,2535.273082446398
7.0,269.03,0.0,0.0,1.0,2014,4,1,11,0,0,4578,3133.2117509097734
7.0,267.84,0.0,0.0,8.0,2013,3,19,12,0,0,4755,3118.5725379977266
7.0,271.15,0.0,0.0,5.0,2016,1,25,2,0,0,260,2226.752614045261
7.0,255.37,0.0,0.0,1.0,2013,12,30,18,0,0,3041,3469.531631064645
7.0,285.47,0.0,0.0,1.0,2016,8,31,5,0,0,2841,2669.312043715585
7.0,295.53,0.25,0.0,4.0,2018,9,2,13,0,0,4414,3542.022991203761
7.0,277.353,0.0,0.0,0.0,2017,2,14,12,0,0,4915,3350.346917732426
7.0,255.53,0.0,0.0,3.0,2017,1,15,2,0,0,740,2026.730792337963
7.0,274.04,0.25,0.0,5.0,2013,12,2,17,0,0,4795,3614.293113892636
7.0,286.84,0.0,0.0,0.0,2016,5,2,10,0,0,4345,3269.9734816196687
7.0,290.46,0.0,0.0,4.0,2013,6,1,3,0,0,438,2601.30674881889
7.0,300.71,0.0,0.0,0.0,2015,7,23,14,0,0,4534,3820.7206890947637
7.0,275.65,0.0,0.0,4.0,2017,11,17,8,0,0,5344,2728.1375761853524
7.0,278.48,0.0,0.0,0.0,2015,11,23,12,0,0,4844,3236.5680003087145
7.0,274.57,0.0,0.0,1.0,2014,2,18,20,0,0,2985,4106.394779996841
7.0,275.87,0.0,0.0,4.0,2013,5,4,16,0,0,4760,3668.810818529266
7.0,267.49,0.0,0.0,5.0,2018,2,25,2,0,0,381,2133.475586560773
7.0,259.02,0.64,0.0,4.0,2014,1,26,2,0,0,477,2087.155852478587
7.0,286.2,0.0,0.0,0.0,2016,6,5,2,0,0,704,2461.3145524113424
7.0,284.6,1.02,0.0,4.0,2013,10,15,12,0,0,4989,3314.6996903495346
7.0,271.79,0.0,0.0,1.0,2013,1,8,19,0,0,2805,4006.52580649182
7.0,276.7,0.0,0.0,1.0,2012,11,4,22,0,0,1451,4226.069687142892
7.0,291.11,0.0,0.0,0.0,2016,8,24,23,0,0,1169,4529.127317351409
7.0,297.888,0.0,0.0,0.0,2016,7,19,0,0,0,602,2406.524560434318
7.0,296.77,0.0,0.0,0.0,2017,8,15,18,0,0,4753,4121.68492999905
7.0,291.17,0.0,0.0,1.0,2016,7,28,4,0,0,817,2674.257214058587
7.0,270.63,0.0,0.0,1.0,2013,3,25,5,0,0,2460,2574.62884064874
7.0,260.08,0.0,0.0,8.0,2013,1,24,8,0,0,6256,2642.1007049598084
7.0,253.76,0.0,0.0,1.0,2013,12,15,17,0,0,3746,3363.988734658873
7.0,294.54,0.0,0.0,4.0,2018,6,9,17,0,0,3589,3958.5820761715877
7.0,286.88,0.0,0.0,1.0,2018,5,19,18,0,0,3640,3994.530379984637
7.0,268.62,0.0,0.0,3.0,2017,11,13,2,0,0,207,2059.3216244680953
7.0,289.11,0.0,0.0,0.0,2016,10,3,10,0,0,4041,3221.7367180147958
7.0,296.36,0.0,0.0,1.0,2014,7,21,7,0,0,6741,3073.5985884307484
7.0,284.8,0.0,0.0,4.0,2016,3,15,16,0,0,6503,3784.4930780453033
7.0,297.888,0.0,0.0,0.0,2016,7,18,23,0,0,1110,4650.440466471518
7.0,287.84,0.0,0.0,0.0,2013,8,15,22,0,0,2243,4428.713962468588
7.0,255.04,0.0,0.0,1.0,2013,1,23,14,0,0,5212,3258.6952669858365
7.0,272.76,0.25,0.0,5.0,2013,12,28,19,0,0,3206,3763.7585895170523
7.0,295.87,0.0,0.0,0.0,2013,7,22,13,0,0,5193,3677.2391044686847
7.0,280.39,0.0,0.0,0.0,2013,11,15,23,0,0,1898,4369.148849067467
7.0,287.29,0.0,0.0,1.0,2018,5,10,15,0,0,6364,3717.2706225132897
7.0,268.9,0.0,0.0,0.0,2017,1,1,6,0,0,821,2671.2399019555232
7.0,271.58,0.0,0.0,1.0,2017,11,16,11,0,0,4943,3006.8670257971644
7.0,295.58,0.0,0.0,1.0,2018,6,1,21,0,0,3519,4416.727513820009
7.0,296.48,0.0,0.0,1.0,2015,7,2,13,0,0,5201,3668.2220935710793
7.0,276.95,0.0,0.0,2.0,2017,5,2,6,0,0,6022,2693.78978003715
7.0,282.22,0.0,0.0,0.0,2016,11,17,22,0,0,3527,4260.7206463885705
7.0,270.5,0.0,0.0,5.0,2013,11,7,3,0,0,346,2208.2100527119364
7.0,262.57,0.0,0.0,1.0,2014,2,8,18,0,0,4256,3746.351823560384
7.0,263.11,0.0,0.0,5.0,2013,12,16,22,0,0,1528,3927.670788260748
7.0,285.91,0.7,0.0,4.0,2016,5,11,19,0,0,3243,4065.3369004596934
7.0,276.87,0.0,0.0,5.0,2015,12,12,23,0,0,2083,4206.65637257804
7.0,294.15,0.0,0.0,5.0,2015,9,2,22,0,0,1928,4420.188545976056
7.0,291.37,0.0,0.0,0.0,2013,6,3,16,0,0,6674,3939.7420044273968
7.0,295.08,0.0,0.0,5.0,2015,7,3,21,0,0,2740,4367.376642662701
7.0,284.84,0.0,0.0,1.0,2017,4,5,16,0,0,6614,3812.090559948905
7.0,291.0,0.0,0.0,1.0,2017,8,27,23,0,0,1195,4497.686492241966
7.0,270.99,0.0,0.0,1.0,2017,3,8,21,0,0,2544,4110.274304536393
7.0,276.249,0.0,0.0,1.0,2017,2,18,21,0,0,3219,4192.859971360482
7.0,282.01,0.0,0.0,2.0,2017,5,18,6,0,0,5656,2751.19367604543
7.0,268.48,0.0,0.0,0.0,2014,3,20,3,0,0,387,2356.3569505115993
7.0,271.95,0.0,0.0,8.0,2017,3,1,3,0,0,375,2272.129778886123
7.0,254.02,0.0,0.0,1.0,2014,3,1,18,0,0,3897,3612.578785145488
7.0,282.49,0.0,0.0,5.0,2017,9,7,1,0,0,357,2173.075528889105
7.0,249.15,0.0,0.0,8.0,2013,12,24,5,0,0,1342,2013.0239338391657
7.0,292.46,0.0,0.0,1.0,2017,6,25,17,0,0,3909,3968.1354504375595
7.0,295.17,0.0,0.0,0.0,2015,7,1,18,0,0,4604,4152.569181180617
7.0,286.81,0.47,0.0,4.0,2013,6,10,10,0,0,4245,3221.35155118442
7.0,248.27,0.0,0.0,1.0,2014,1,5,19,0,0,2022,3654.0932157678326
7.0,293.31,0.0,0.0,5.0,2016,9,7,5,0,0,2874,2733.1039041846416
7.0,272.13,0.0,0.0,1.0,2013,2,18,17,0,0,5066,3790.0535306719903
7.0,268.39,0.0,0.0,8.0,2012,12,21,10,0,0,4985,2796.700509755592
7.0,271.39,0.0,0.0,1.0,2013,11,7,0,0,0,574,1988.1533889366838
7.0,301.53,0.0,0.0,1.0,2015,7,24,14,0,0,5512,3816.7969787403345
7.0,274.85,0.0,0.0,5.0,2018,4,23,7,0,0,6574,2698.5195509025143
7.0,288.15,0.0,0.0,5.0,2017,4,15,10,0,0,3876,3205.5347227506027
7.0,281.95,0.0,0.0,1.0,2013,5,10,18,0,0,5159,3991.10115089389
7.0,272.71,0.0,0.0,1.0,2016,11,19,3,0,0,505,2252.0071405883573
7.0,300.48,0.0,0.0,0.0,2017,7,4,13,0,0,3108,3715.752004719732
7.0,292.38,0.0,0.0,0.0,2015,9,21,10,0,0,4642,3278.8549529669654
7.0,286.38,0.0,0.0,0.0,2014,6,3,6,0,0,6071,2879.800907793895
7.0,251.72,0.0,0.0,0.0,2016,12,13,5,0,0,2830,2145.3348494694583
7.0,291.04,0.0,0.0,10.0,2016,9,16,10,0,0,4416,3103.858016789545
7.0,266.86,0.0,0.0,1.0,2013,3,7,4,0,0,782,2440.624107270669
7.0,295.48,0.0,0.0,1.0,2016,6,24,11,0,0,4874,3440.058260216225
7.0,289.82,0.0,0.0,0.0,2018,7,27,1,0,0,456,2354.1635673975834
